0,1,2,3,4,5
2884286,,5,2019-08-31,False,False
2884289,,5,2019-08-31,False,False
2884288,,5,2019-08-31,False,False
2885985,0.3071558044863624,5,2019-09-01,False,True
2885997,0.554095274709848,5,2019-09-01,False,True
2885996,0.21591130633088332,5,2019-09-01,False,True
2886002,0.0,5,2019-09-01,False,True
2886001,0.21773111845452547,5,2019-09-01,False,True
2892749,,5,2019-09-07,True,False
2892750,,5,2019-09-07,True,False
2892753,,5,2019-09-07,True,False
2892752,,5,2019-09-07,True,False
2892754,,5,2019-09-07,True,False
2894181,0.3926584719502825,5,2019-09-08,False,True
2894184,0.23926331115427402,4,2019-09-08,False,True
2894186,0.4240029673341521,5,2019-09-08,False,True
2894185,0.0,5,2019-09-08,False,True
2894187,0.4334990179368383,5,2019-09-08,False,True
2900582,0.0,5,2019-09-14,False,True
2900600,0.9007641109630178,5,2019-09-14,False,True
2900602,0.0,5,2019-09-14,False,True
2902650,0.00015136502616118093,5,2019-09-15,True,True
2902657,0.990301790205588,5,2019-09-15,True,True
2902652,1.0043249482756709e-22,4,2019-09-15,True,True
2902656,0.0,5,2019-09-15,True,True
2902655,0.0,5,2019-09-15,True,True
2902654,0.006614322073374482,5,2019-09-15,True,True
2902663,0.010415488975936754,5,2019-09-15,True,True
2911344,0.9150019372314401,5,2019-09-21,False,True
2911349,0.12302762505818797,5,2019-09-21,False,True
2911353,0.2216763808136475,5,2019-09-21,False,True
2913461,,5,2019-09-22,False,False
2913467,,5,2019-09-22,False,False
2913473,,5,2019-09-22,False,False
2913471,,5,2019-09-22,False,False
2913472,,5,2019-09-22,False,False
2913479,,5,2019-09-22,False,False
2917296,0.0,5,2019-09-26,False,True
2917294,0.3609311354386334,5,2019-09-26,False,True
2917293,0.21140764972897766,5,2019-09-26,False,True
2918570,0.18830123707305382,5,2019-09-26,False,True
2917295,0.0,4,2019-09-26,False,True
2917292,0.613480716050625,5,2019-09-26,False,True
2924264,0.0013612265135275765,5,2019-09-29,True,True
2924268,0.0,5,2019-09-29,True,True
2924266,3.316443348127733e-27,5,2019-09-29,True,True
2924267,0.02527135234313332,5,2019-09-29,True,True
2924278,0.9786764525102035,5,2019-09-29,True,True
2924276,0.0,5,2019-09-29,True,True
2925721,0.7377949122726375,5,2019-09-30,False,True
2925720,0.6974544308435511,5,2019-09-30,False,True
2924277,0.0,5,2019-09-30,False,True
2928271,,5,2019-10-02,False,False
2929300,,5,2019-10-02,False,False
2932126,0.0,5,2019-10-05,False,True
2932127,0.13576208316137228,5,2019-10-05,False,True
2932130,0.05597648533528185,5,2019-10-05,False,True
2932129,0.7905521691601375,5,2019-10-05,False,True
2932114,0.0,3,2019-10-06,False,True
2934357,0.15470378918965566,5,2019-10-06,False,True
2934363,0.0,5,2019-10-06,False,True
2934361,0.7657831353290439,4,2019-10-06,False,True
2934362,0.0,5,2019-10-06,False,True
2934377,0.06835184403197955,5,2019-10-06,False,True
2938255,0.016389128303807725,4,2019-10-09,False,True
2938256,1.0667699377427717,5,2019-10-09,False,True
2938257,0.0,5,2019-10-09,False,True
2939249,0.0,4,2019-10-10,True,True
2939248,0.0,5,2019-10-10,True,True
2939250,0.23205768726776752,5,2019-10-10,True,True
2939251,0.8317477946610534,5,2019-10-10,True,True
2939253,0.0,5,2019-10-10,True,True
2939252,0.08416644690387437,4,2019-10-10,True,True
2939254,0.22204442306915004,5,2019-10-10,True,True
2941769,0.5433524437523392,5,2019-10-12,False,True
2941770,0.8188329724696173,5,2019-10-12,False,True
2943952,0.016182453695859786,5,2019-10-13,True,True
2943957,0.00046484729565068276,5,2019-10-13,True,True
2943955,1.0057064605152926,5,2019-10-13,True,True
2943954,0.0,3,2019-10-13,True,True
2943956,0.0018962671768910189,5,2019-10-13,True,True
2943958,0.0,5,2019-10-13,True,True
2943959,2.2676772301344875e-27,5,2019-10-13,True,True
